srians	Fe	RBAave	RBAr630
BS0573	0	0.4241	0.6536
BS0574	0	0.4665	0.6536
BS0575	0	0.2676	0.6536
BS0576	0	0.4328	0.6536
BS0577	0	0.4082	0.6536
BS0578	0	0.4317	0.6536
BS0579	0	0.4413	0.6536
BS0580	0	0.4906	0.6536
BS0581	0	0.4357	0.6536
BS0582	0	0.1012	0.6536
BS0583	0	0.0532	0.6536
BS0584	0	0.4331	0.6536
BS0585	0	0.4383	0.6536
BS0586	0	0.3316	0.6536
BS0587	0	0.0535	0.6536
BS0588	0	0.4583	0.6536
BS0589	0	0.3195	0.6536
BS0590	0	0.5126	0.6536
BS0591	0	0.4806	0.6536
BS0592	0	0.4262	0.6536
BS0593	0	0.0751	0.6536
BS0594	0	0.4388	0.6536
BS0595	0	0.3415	0.6536
BS0596	0	0.434	0.6536
BS0597	0	0.4707	0.6536
BS0598	0	0.382	0.6536
BS0599	0	0.3911	0.6536
BS0600	0	0.4368	0.6536
BS0601	0	0.3808	0.6536
BS0602	0	0.4099	0.6536
BS0603	0	0.404	0.6536
BS0604	0	0.3588	0.6536
BS0605	0	0.4169	0.6536
BS0606	0	0.099	0.6536
BS0607	0	0.4269	0.6536
BS0608	0	0.396	0.6536
BS0609	0	0.3794	0.6536
BS0610	0	0.3537	0.6536
BS0611	0	0.424	0.6536
BS0612	0	0.4091	0.6536
BS0613	0	0.4342	0.6536
BS0614	0	0.48	0.6536
BS0615	0	0.4683	0.6536
BS0616	0	0.3941	0.6536
BS0617	0	0.444	0.6536
BS0618	0	0.4053	0.6536
BS0619	0	0.476	0.6536
BS0620	0	0.3985	0.6536
BS0621	0	0.4473	0.6536
BS0622	0	0.4556	0.6536
BS0623	0	0.4255	0.6536
BS0624	0	0.055	0.6536
BS0625	0	0.4904	0.6536
BS0626	0	0.4583	0.6536
BS0627	0	0.4886	0.6536
BS0628	0	0.0581	0.6536
BS0629	0	0.518	0.6536
BS0630	0	0.0553	0.6536
BS0631	0	0.0554	0.6536
BS0632	0	0.056	0.6536
BS0633	0	0.1687	0.6536
BS0634	0	0.057	0.6536
BS0635	0	0.1285	0.6536
BS0636	0	0.0868	0.6536
BS0637	0	0.3989	0.6536
BS0638	0	0.4376	0.6536
BS0639	0	0.5121	0.6536
BS0640	0	0.4824	0.6536
BS0641	0	0.0576	0.6536
BS0642	0	0.0574	0.6536
BS0643	0	0.5102	0.6536
BS0644	0	0.4703	0.6536
BS0645	0	0.4669	0.6536
BS0646	0	0.4365	0.6536
BS0647	0	0.0569	0.6536
BS0648	0	0.4664	0.6536
BS0649	0	0.483	0.6536
BS0650	0	0.4523	0.6536
BS0651	0	0.5116	0.6536
BS0652	0	0.4869	0.6536
BS0653	0	0.4968	0.6536
BS0654	0	0.4474	0.6536
BS0655	0	0.4993	0.6536
BS0656	0	0.498	0.6536
BS0657	0	0.0576	0.6536
BS0658	0	0.4737	0.6536
BS0659	0	0.4319	0.6536
BS0660	0	0.3609	0.6536
BS0661	0	0.417	0.6536
BS0662	0	0.4627	0.6536
BS0663	0	0.4534	0.6536
BS0664	0	0.5004	0.6536
BS0665	0	0.4561	0.6536
BS0666	0	0.4913	0.6536
BS0667	0	0.4783	0.6536
BS0668	0	0.1011	0.6536
BS0669	0	0.2693	0.6536
BS0670	0	0.4685	0.6536
BS0671	0	0.0566	0.6536
BS0672	0	0.4582	0.6536
BS0673	0	0.0567	0.6536
BS0674	0	0.0564	0.6536
BS0675	0	0.4471	0.6536
BS0676	0	0.4089	0.6536
BS0677	0	0.4572	0.6536
BS0678	0	0.3869	0.6536
BS0679	0	0.4937	0.6536
BS0680	0	0.4477	0.6536
BS0681	0	0.4357	0.6536
BS0682	0	0.5241	0.6536
BS0683	0	0.3776	0.6536
BS0684	0	0.4835	0.6536
BS0685	0	0.4842	0.6536
BS0686	0	0.4661	0.6536
BS0687	0	0.4457	0.6536
BS0688	0	0.0647	0.6536
BS0689	0	0.5031	0.6536
BS0690	0	0.4675	0.6536
BS0691	0	0.3061	0.6536
BS0692	0	0.0647	0.6536
BS0693	0	0.3441	0.6536
BS0694	0	0.4073	0.6536
BS0695	0	0.2339	0.6536
BS0696	0	0.4185	0.6536
BS0697	0	0.413	0.6536
BS0698	0	0.323	0.6536
BS0699	0	0.4394	0.6536
BS0700	0	0.0563	0.6536
BS0701	0	0.4022	0.6536
BS0702	0	0.3832	0.6536
BS0703	0	0.4265	0.6536
BS0704	0	0.2658	0.6536
BS0705	0	0.4553	0.6536
BS0706	0	0.3212	0.6536
BS0707	0	0.4251	0.6536
BS0708	0	0.4513	0.6536
BS0709	0	0.3575	0.6536
BS0710	0	0.4462	0.6536
BS0711	0	0.3649	0.6536
BS0712	0	0.3979	0.6536
BS0713	0	0.4254	0.6536
BS0714	0	0.3657	0.6536
BS0715	0	0.4351	0.6536
BS0716	0	0.4193	0.6536
BS0717	0	0.3246	0.6536
BS0718	0	0.4081	0.6536
BS0719	0	0.4529	0.6536
BS0720	0	0.3503	0.6536
BS0721	0	0.3823	0.6536
BS0722	0	0.4378	0.6536
BS0723	0	0.4199	0.6536
BS0724	0	0.4304	0.6536
BS0725	0	0.3375	0.6536
BS0726	0	0.32	0.6536
BS0727	0	0.4461	0.6536
BS0728	0	0.4445	0.6536
BS0729	0	0.4378	0.6536
BS0730	0	0.4443	0.6536
BS0731	0	0.4419	0.6536
BS0732	0	0.3867	0.6536
BS0733	0	0.2682	0.6536
BS0734	0	0.4486	0.6536
BS0735	0	0.4398	0.6536
BS0736	0	0.4506	0.6536
BS0737	0	0.4462	0.6536
BS0738	0	0.3971	0.6536
BS0739	0	0.4484	0.6536
BS0740	0	0.458	0.6536
BS0741	0	0.3896	0.6536
BS0742	0	0.4327	0.6536
BS0743	0	0.4433	0.6536
BS0744	0	0.0646	0.6536
BS0745	0	0.4564	0.6536
BS0746	0	0.4254	0.6536
BS0747	0	0.4493	0.6536
BS0748	0	0.4611	0.6536
BS0749	0	0.4562	0.6536
BS0750	0	0.4587	0.6536
BS0751	0	0.3973	0.6536
BS0752	0	0.2392	0.6536
BS0753	0	0.368	0.6536
BS0754	0	0.4041	0.6536
BS0755	0	0.4781	0.6536
BS0756	0	0.4489	0.6536
BS0757	0	0.3937	0.6536
BS0758	0	0.4636	0.6536
BS0759	0	0.4337	0.6536
BS0760	0	0.4025	0.6536
BS0761	0	0.4335	0.6536
BS0762	0	0.4525	0.6536
BS0763	0	0.4454	0.6536
BS0764	0	0.446	0.6536
BS0765	0	0.4587	0.6536
BS0766	0	0.3635	0.6536
BS0767	0	0.4343	0.6536
BS0768	0	0.3758	0.6536
BS0769	0	0.4332	0.6536
BS0770	0	0.4448	0.6536
BS0771	0	0.4589	0.6536
BS0772	0	0.4302	0.6536
BS0773	0	0.3367	0.6536
BS0774	0	0.4558	0.6536
BS0775	0	0.3866	0.6536
BS0776	0	0.4171	0.6536
BS0777	0	0.3927	0.6536
BS0778	0	0.305	0.6536
BS0779	0	0.367	0.6536
BS0780	0	0.4273	0.6536
BS0781	0	0.4531	0.6536
BS0782	0	0.391	0.6536
BS0783	0	0.1478	0.6536
BS0784	0	0.4285	0.6536
BS0785	0	0.4327	0.6536
BS0786	0	0.3699	0.6536
BS0787	0	0.2891	0.6536
BS0788	0	0.4678	0.6536
BS0789	0	0.3223	0.6536
BS0790	0	0.3519	0.6536
BS0791	0	0.3832	0.6536
BS0792	0	0.4096	0.6536
BS0793	0	0.3443	0.6536
BS0794	0	0.4222	0.6536
BS0795	0	0.4162	0.6536
BS0796	0	0.4255	0.6536
BS0797	0	0.3866	0.6536
BS0798	0	0.3941	0.6536
BS0799	0	0.2511	0.6536
BS0800	0	0.3853	0.6536
BS0801	0	0.3624	0.6536
BS0802	0	0.3968	0.6536
BS0803	0	0.4294	0.6536
BS0804	0	0.4209	0.6536
BS0805	0	0.4271	0.6536
BS0806	0	0.3846	0.6536
BS0807	0	0.4252	0.6536
BS0808	0	0.2589	0.6536
BS0809	0	0.4253	0.6536
BS0810	0	0.4471	0.6536
BS0811	0	0.055	0.6536
BS0812	0	0.3059	0.6536
BS0813	0	0.0552	0.6536
BS0814	0	0.4164	0.6536
BS0815	0	0.2833	0.6536
BS0816	0	0.4138	0.6536
BS0817	0	0.4316	0.6536
BS0818	0	0.0536	0.6536
BS0819	0	0.4126	0.6536
BS0820	0	0.4162	0.6536
BS0821	0	0.4371	0.6536
BS0822	0	0.4392	0.6536
BS0823	0	0.3236	0.6536
